"","Viv1","Viv2","Viv3","Hfd1","Hfd2","Hfd3"
"ENSMUSG00000085391",0,0,0,0,0,0
"ENSMUSG00000085280",0,0,0,0,0,1
"ENSMUSG00000087131",0,0,0,0,0,1
"ENSMUSG00000048814",0,0,0,0,0,0
"ENSMUSG00000026080",1,2,0,0,1,2
"ENSMUSG00000067604",0,0,0,0,0,0
"ENSMUSG00000026078",494,338,306,407,378,419
"ENSMUSG00000026077",262,176,53,56,125,141
"ENSMUSG00000092553",63,32,27,51,41,71
"ENSMUSG00000092563",27,23,29,17,16,21
"ENSMUSG00000073702",233,120,144,160,141,125
"ENSMUSG00000003134",455,320,540,355,354,454
"ENSMUSG00000065629",0,1,2,0,1,0
"ENSMUSG00000003135",434,263,385,287,328,326
"ENSMUSG00000085894",34,48,34,11,27,23
"ENSMUSG00000077704",1,2,4,0,1,2
"ENSMUSG00000048234",1773,1118,1655,1576,1486,1654
"ENSMUSG00000064936",0,0,0,1,0,0
"ENSMUSG00000050967",1,1,0,0,0,0
"ENSMUSG00000090677",0,0,0,0,0,0
"ENSMUSG00000057173",1,1,0,0,0,1
"ENSMUSG00000091937",0,0,0,0,0,0
"ENSMUSG00000026074",368,290,331,399,396,498
"ENSMUSG00000086705",0,0,0,0,0,0
"ENSMUSG00000026073",1,1,1,1,2,3
"ENSMUSG00000026072",545,424,1735,450,639,937
"ENSMUSG00000070942",3,1,5,4,3,1
"ENSMUSG00000026069",1,0,0,1,2,0
"ENSMUSG00000026070",14,3,4,9,14,4
"ENSMUSG00000026068",8,5,5,12,5,8
"ENSMUSG00000026065",0,0,0,0,0,0
"ENSMUSG00000088965",0,0,0,0,0,0
"ENSMUSG00000026062",0,0,0,0,0,0
"ENSMUSG00000041945",68,49,51,91,79,76
"ENSMUSG00000079588",0,0,0,0,0,0
"ENSMUSG00000053640",0,0,0,0,0,0
"ENSMUSG00000060424",0,0,0,0,0,0
"ENSMUSG00000093778",0,0,0,0,0,0
"ENSMUSG00000093436",0,0,0,0,0,0
"ENSMUSG00000045515",0,0,0,0,0,0
"ENSMUSG00000060679",489,360,387,302,369,328
"ENSMUSG00000077448",0,0,0,0,0,0
"ENSMUSG00000079587",0,0,0,0,0,0
"ENSMUSG00000041907",0,0,0,0,0,0
"ENSMUSG00000089088",0,0,0,0,0,0
"ENSMUSG00000070939",1353,585,1015,1033,962,1281
"ENSMUSG00000041878",6,5,7,6,3,6
"ENSMUSG00000010290",372,211,373,253,248,288
