"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000038034",117.774412530114,0.469551870255152,0.231355283306035,2.02957055289734,0.0424002106715895,0.209845315711691,"Igsf8"
"ENSMUSG00000033161",5774.38643166618,0.290561109193935,0.143176556828808,2.02939025514736,0.0424185568803717,0.209864376106722,"Atp1a1"
"ENSMUSG00000090862",75.5399568572664,-0.487578735727979,0.240270051931486,-2.02929466992838,0.04242828588341,0.209864376106722,"Rps13"
"ENSMUSG00000040463",861.30872576871,0.294237083420895,0.145072273388802,2.02821032956671,0.0425387861094856,0.210344186613609,"Mybbp1a"
"ENSMUSG00000036944",39.69606499073,0.595107222350099,0.293430234299459,2.02810464903479,0.0425495685393143,0.210344186613609,"Tmem71"
"ENSMUSG00000039463",662.358310838729,0.299874506057022,0.147945674452463,2.02692310651756,0.0426702770513417,0.210880744571762,"Slc9a8"
"ENSMUSG00000091819",2.70568752772341,0.701402385300781,0.346070750695125,2.02676008848459,0.0426869539766604,0.210903008712174,"Gm17443"
"ENSMUSG00000081100",146.196629922334,-0.559943395793799,0.276307037984338,-2.02652599759525,0.0427109113729534,0.210945306359893,"Gm14630"
"ENSMUSG00000026589",1704.11548521591,-0.264501840367467,0.130525468076685,-2.02643855076674,0.0427198637973605,0.210945306359893,"Sec16b"
"ENSMUSG00000052776",44.8822497786218,0.553936555233853,0.273460067375939,2.0256579344447,0.0427998502077117,0.211280058276074,"Oas1a"
"ENSMUSG00000001521",25.3253067995626,0.619910191585678,0.306152331293066,2.02484230306993,0.0428835596864672,0.211632993075311,"Tulp3"
"ENSMUSG00000036983",148.694800408074,-0.366446721018837,0.181042829091772,-2.02408856985483,0.0429610394702762,0.211954991714543,"Tfb1m"
"ENSMUSG00000041112",47.8545985079743,0.553919376792636,0.273761980684436,2.02336122571795,0.0430359187502111,0.21226398069596,"Elmo1"
"ENSMUSG00000032265",184.870561821349,0.380886901920774,0.188286855550946,2.02290755138622,0.0430826798617032,0.212399950567745,"Fam46a"
"ENSMUSG00000070002",421.076011098757,-0.299861825154777,0.148236866566827,-2.02285593388198,0.0430880028998455,0.212399950567745,"Ell"
"ENSMUSG00000041417",1585.65417108418,0.351564771535979,0.17380833684224,2.02271523865442,0.0431025148713561,0.212411056648461,"Pik3r1"
"ENSMUSG00000018001",160.993491831025,0.354637940680485,0.175364189005442,2.02229396259164,0.0431459919812512,0.21256485728153,"Cyth3"
"ENSMUSG00000074476",219.062189293139,0.381634287241761,0.188745417469085,2.02195259815656,0.0431812491195259,0.2126780851319,"Spc24"
