entrez_id,control_FFa1.bam,control_FFa2.bam,control_FFa3.bam,mutant_KOa1.bam,mutant_KOa2.bam,mutant_KOa3.bam,mutant_KOb1.bam,mutant_KOb2.bam,mutant_KOb3.bam
227157,4,25,30,75,23,24,28,40,7
74018,378,178,451,517,362,443,742,793,577
271697,20,0,0,10,3,12,22,5,8
14369,18,25,53,54,11,47,92,42,80
381260,13,5,17,87,7,18,22,19,10
22218,2149,575,3012,1248,1719,1889,3975,4956,4259
55989,1463,776,1968,1135,1628,1324,5000,6932,5807
100217459,0,0,1,0,0,0,0,0,1
100217421,0,5,0,1,2,0,6,0,0
12168,59,47,89,61,54,17,104,108,121
100504533,18,16,28,32,8,6,51,67,18
72750,292,174,353,101,184,97,405,573,407
70375,34,0,35,85,16,22,34,42,39
57750,134,67,205,138,146,102,735,873,898
241066,32,7,79,77,18,44,158,108,38
269198,202,71,202,184,83,83,225,216,147
77951,33,20,71,56,35,33,191,102,138
329165,111,49,116,122,112,50,105,167,70
77300,36,2,44,23,18,4,12,14,19
100504603,18,0,3,0,0,0,0,0,7
100043027,0,0,0,0,0,0,0,0,0
100042533,4,0,0,0,0,0,0,0,2
12487,28,6,42,34,36,37,10,20,20
100504618,3,0,0,16,0,0,3,0,0
12477,5,10,29,2,4,8,5,17,0
54167,18,26,0,14,16,26,16,22,11
72823,31,14,27,148,24,51,58,70,47
18187,71,40,55,258,73,110,87,65,79
227195,1363,1042,1495,1737,1715,1862,2729,3370,2101
100380944,28,62,20,29,47,45,104,98,55
100504668,45,3,37,60,23,42,64,43,29
227197,637,314,1165,704,886,848,1783,2078,1692
55949,2247,1084,3311,1751,3168,2146,5506,6822,5764
100217464,4,2,9,8,4,11,13,14,26
241070,4,7,0,28,4,0,0,9,5
73884,32,4,5,84,12,61,34,11,31
23792,15,6,6,38,13,7,17,40,17
100504706,8,0,0,23,0,0,0,0,0
241073,18,6,0,9,12,22,25,24,6
76668,1,0,6,32,4,5,21,0,10
75619,138,17,171,137,52,75,348,510,419
74426,2,0,0,9,0,6,2,6,4
433315,0,0,12,23,0,0,15,12,0
93691,90,49,77,119,75,70,132,139,79
12912,992,687,1286,674,1018,867,1671,1821,1447
67099,56,1,37,46,20,18,45,141,92
69941,98,32,183,79,113,135,140,216,219
227210,87,29,77,113,20,29,104,61,90
14367,234,169,271,196,74,108,102,170,189
241075,177,75,183,104,20,64,80,110,118
70861,0,0,0,29,0,13,0,0,18
12968,0,0,0,0,0,0,2,0,2
12967,7,0,0,10,0,10,0,0,0
12966,2,0,5,0,0,0,2,2,4
12965,6,0,0,17,0,0,0,3,0
12964,6,0,0,33,0,10,10,3,0
98303,9,2,8,23,5,19,19,6,2
